ma_san_pham,ten_san_pham,gia_ban,gia_goc,hinh_anh
318900005,Kem Dưỡng Ẩm Klairs Làm Dịu & Phục Hồi Da Ban Đêm 60g,317000,575000,https://media.hcdn.vn/catalog/product/p/r/promotions-auto-kem-duong-am-lam-diu-da-ban-dem-klairs-60ml_F5MyVmgSE1SpoYG6_img_380x380_64adc6_fit_center.png
249500007,Sữa Chống Nắng Sunplay Skin Aqua Dưỡng Da Sáng Mịn 55g,155000,219000,https://media.hcdn.vn/catalog/product/f/a/facebook-dynamic-249500007-1728878978_img_380x380_64adc6_fit_center.jpg
100220035,Dung Dịch Tẩy Da Chết Paula’s Choice 2% BHA 30ml,219000,399000,https://media.hcdn.vn/catalog/product/f/a/facebook-dynamic-100220035-1698832043_img_380x380_64adc6_fit_center.jpg
422203173,"Kem Dưỡng Vichy Sáng Da, Mờ Thâm Nám Ban Đêm 50ml",859000,1165000,https://media.hcdn.vn/catalog/product/p/r/promotions-auto-kem-duong-vichy-lam-sang-san-chac-da-ban-dem-50ml_ZuwYmTkKiQ2hjQga_img_380x380_64adc6_fit_center.png
231100005,"Serum GoodnDoc Dưỡng Ẩm, Hỗ Trợ Phục Hồi Da 30ml",349000,490000,https://media.hcdn.vn/catalog/product/f/a/facebook-dynamic-tinh-chat-goodndoc-duong-am-ho-tro-phuc-hoi-da-30ml-1693823891_img_380x380_64adc6_fit_center.jpg
422216352,Kem Dưỡng La Roche-Posay Giảm Mụn Hiệu Quả 40ml,328000,480000,https://media.hcdn.vn/catalog/product/p/r/promotions-auto-kem-duong-la-roche-posay-giam-mun-hieu-qua-40ml_D1n9szpfUiePZ2XQ_img_380x380_64adc6_fit_center.png
371600006,"Serum Balance Active Formula Làm Sáng Da, Mờ Thâm 30ml",94000,260000,https://media.hcdn.vn/catalog/product/p/r/promotions-auto-tinh-chat-balance-active-formula-vitamin-c-sang-da-30ml_BybAHXUwwF5tqHCU_img_380x380_64adc6_fit_center.png
422203617,Sữa Dưỡng Ẩm Embryolisse Siêu Phục Hồi Da 75ml,348000,730000,https://media.hcdn.vn/catalog/product/p/r/promotions-auto-kem-sieu-duong-am-embryolisse-ho-tro-phuc-hoi-da-75ml_RPU3aobTcTE5ksr4_img_380x380_64adc6_fit_center.png
204900025,"Nước Tẩy Trang La Roche-Posay Cho Da Dầu, Nhạy Cảm 400ml",349000,520000,https://media.hcdn.vn/catalog/product/p/r/promotions-auto-nuoc-tay-trang-la-roche-posay-danh-cho-da-dau-da-nhay-cam-400ml_vDH9WYBzfj29ub9j_img_380x380_64adc6_fit_center.png
422200306,Kem Dưỡng Ẩm Neutrogena Cấp Nước Cho Da Dầu 50g,267000,389000,https://media.hcdn.vn/catalog/product/p/r/promotions-auto-kem-duong-am-neutrogena-cung-cap-nuoc-cho-da-50g_yadKeKFeobwxmae8_img_380x380_64adc6_fit_center.png
422208181,"Gel Dưỡng Megaduo Plus Giảm Mụn, Mờ Thâm 15g",128000,195000,https://media.hcdn.vn/catalog/product/f/a/facebook-dynamic-gel-duong-megaduo-plus-gel-giam-mun-mo-tham-15g-1693822074_img_380x380_64adc6_fit_center.jpg
422223266,Mặt Nạ Beplain Đất Sét Từ Đậu Xanh Hỗ Trợ Sạch Sâu 120ml,244000,445000,https://media.hcdn.vn/catalog/product/f/a/facebook-dynamic-mat-na-beplain-dat-set-tu-dau-xanh-ho-tro-sach-sau-120ml-1720078946_img_380x380_64adc6_fit_center.jpg
211300007,Sữa Rửa Mặt Simple Giúp Da Sạch Thoáng 150ml,95000,132000,https://media.hcdn.vn/catalog/product/f/a/facebook-dynamic-gel-rua-mat-danh-cho-da-nhay-cam-simple-150ml-1708330539_img_380x380_64adc6_fit_center.jpg
224100009,Kem Rửa Mặt Hada Labo Sạch Sâu Dưỡng Ẩm 80g,56000,83000,https://media.hcdn.vn/catalog/product/f/a/facebook-dynamic-kem-rua-mat-hada-labo-duong-am-toi-uu-80g-1724140090_img_380x380_64adc6_fit_center.jpg
422204904,Nước Tẩy Trang Garnier Làm Sạch Sâu Lớp Trang Điểm 400ml,139000,219000,https://media.hcdn.vn/catalog/product/p/r/promotions-auto-nuoc-tay-trang-garnier-lam-sach-sau-lop-trang-diem-400ml_gFdjjBkdiM89dviH_img_380x380_64adc6_fit_center.png
422209262,Combo Cocoon Tẩy Da Chết Cho Mặt & Toàn Thân Từ Cà Phê Đắk Lắk (200ml+150ml),212000,290000,https://media.hcdn.vn/catalog/product/f/a/facebook-dynamic-422209262-1689848055_img_380x380_64adc6_fit_center.jpg
100150058,Xịt Khoáng Evoluderm Cấp Nước & Làm Dịu Da 400ml,139000,295000,https://media.hcdn.vn/catalog/product/f/a/facebook-dynamic-xit-khoang-cung-cap-nuoc-evoluderm-400ml-1698049952_img_380x380_64adc6_fit_center.jpg
422217959,"Serum Torriden Dưỡng Ẩm Sâu, Sáng Bóng Da 50ml",298000,484000,https://media.hcdn.vn/catalog/product/f/a/facebook-dynamic-422217959-1706237923_img_380x380_64adc6_fit_center.png
422223701,Serum d,433000,717600,https://media.hcdn.vn/catalog/product/p/r/promotions-auto-serum-d-alba-dang-xit-nam-truffle-trang-cang-bong-da-100ml_NKp7RSte1DshCzuM_img_380x380_64adc6_fit_center.png
422214321,Combo 2 Kem Chống Nắng L,488000,758000,https://media.hcdn.vn/catalog/product/f/a/facebook-dynamic-combo-2-kem-chong-nang-l-oreal-paris-x20-thoang-da-mong-nhe-50ml-1726721072_img_380x380_64adc6_fit_center.jpg
422204259,Nước Tẩy Trang L,173000,269000,https://media.hcdn.vn/catalog/product/p/r/promotions-auto-nuoc-tay-trang-l-oreal-paris-danh-cho-da-dau-400ml_bPm2miAYTT79Nmfs_img_380x380_64adc6_fit_center.png
422214283,Kem Chống Nắng Dr.G Dưỡng Sáng Da 50ml,317000,530000,https://media.hcdn.vn/catalog/product/f/a/facebook-dynamic-kem-chong-nang-drg-duong-sang-da-50ml-1692695421_img_380x380_64adc6_fit_center.jpg
422214044,Combo 2 Kem Chống Nắng Cocoon Bí Đao Quang Phổ Rộng 50ml,553000,790000,https://media.hcdn.vn/catalog/product/f/a/facebook-dynamic-422214044-1729678461_img_380x380_64adc6_fit_center.jpg
422207844,"Serum oh!oh! Dưỡng Sáng Da, Giảm Thâm Nám 30ml",634000,980000,https://media.hcdn.vn/catalog/product/p/r/promotions-auto-tinh-chat-oh-oh-duong-sang-da-giam-tham-nam-30ml_bBpWGuKwcjeVNt2b_img_380x380_64adc6_fit_center.png
